Id,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s2_enrol,Y1s2_complete,Y2s1_enrol,Y2s1_complete,Y2s2_enrol,Y2s2_complete,Y3s1_enrol,Y3s1_complete,Y3s2_enrol,Y3s2_complete,Y4s1_enrol,Y4s1_complete,Y4s2_enrol,Y4s2_complete,Rest_enrol,Rest_complete,Failure
131380873,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131397871,36,36,36,0,36,0,35,5,36,6,0,0,0,0,0,0,0,0,0,0,1
131395977,29,48,32,8,36,30,37,25,34,16,38,6,28,17,52,7,51,5,63,16,0
131391387,24,30,36,30,36,24,48,30,24,18,30,12,30,24,0,0,0,0,0,0,0
131382547,30,34,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131387135,28,42,30,24,44,38,27,27,34,24,0,0,0,0,0,0,0,0,0,0,0
131386923,31,29,30,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393816,34.5,36,34,0,36,17.5,30,20,30,0,0,0,0,0,0,0,0,0,0,0,1
131380728,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131391994,47,29.5,30,12,47.5,35.5,36,13,47.5,13,30,18,36,24,0,0,0,0,0,0,0
131392109,53,53.5,36,19,36,18.5,30,16.5,30,16.5,0,0,0,0,0,0,0,0,0,0,0
131402711,24,34,24,0,60,0,35.5,23.5,52.5,0,0,0,0,0,0,0,0,0,0,0,1
131379583,36,30,22,22,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111335858,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111335869,30,30,30,30,30,30,30,30,30,30,30,30,40,30,0,0,0,0,0,0,0
131392389,18,23,28,24,32,26,34,21,35,35,30,19,30,19,0,0,0,0,0,0,0
111345874,30,30,20,20,26,26,34,34,26,26,30,30,30,30,0,0,0,0,0,0,0
111345888,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131383456,30,36,34,28,42,30,28,17,36,18,30,15,36,6,0,0,0,0,0,0,0
131398568,35.5,35.5,35.5,0,35,0,30,18,47.5,0,24,0,30,0,0,0,0,0,0,0,1
111354342,30,30,26,26,30,30,26,26,34,24,30,0,30,0,30,30,30,30,0,0,0
131402740,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393639,37,30,35.5,35.5,30,30,30,17.5,30,30,0,0,0,0,0,0,0,0,0,0,0
111345879,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131386241,34,35,30,8,30,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131400409,0,6,7,0,80,33,30,23,75,14,73,35,53,26,56,26,75,42,130,43,0
131393672,2,0,13,11,41,27,30,30,32,28,34,19,36,24,32,25,29,18,0,0,0
131398233,0,18,11,11,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131392875,0,22,30,12,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131379947,30,36,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380081,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384358,48,48,36,18,36,24,33,15,36,18,30,15,30,6,0,0,0,0,0,0,0
131381767,41,42,29,0,42,0,30,3,36,0,0,0,0,0,0,0,0,0,0,0,0
111345890,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131384355,33,48,36,24,36,21,36,9,36,12,30,24,24,6,0,0,0,0,0,0,0
131385322,34,36,32,9,36,0,30,3,42,0,0,0,0,0,0,0,0,0,0,0,1
131391299,35,36,35.5,6,35.5,12,36,18.5,41.5,7,36.5,0,36,6,0,0,0,0,0,0,1
131383785,60,33,30,6,36,33,42,33,30,12,30,9,30,24,0,0,0,0,0,0,0
131382719,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393784,0,6,0,0,12,0,16,14,35,23,18,14,28,22,28,25,36,30,61,55,0
131395444,34,44,36,30,36,18,36,30,36,36,32,25,29,17,0,0,0,0,0,0,0
131380871,20,30,30,14,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384261,34,36,30,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382246,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131389470,29.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386994,30,30,30,30,30,30,30,30,34,34,30,30,30,26,0,0,0,0,0,0,0
131380749,30,36,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387564,36,36,30,18,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111374596,0,10,40,30,24,24,12,12,30,20,30,18,15,15,30,30,30,15,60,60,0
131380417,36,42,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385111,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386621,35.5,30,31.5,26,41.5,36,30,28.5,30,24,0,0,0,0,0,0,0,0,0,0,0
131385182,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111335862,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131391276,12,42.5,41,35.5,41.5,17,36.5,25.5,40.5,30.5,30,11.5,30,11.5,0,0,0,0,0,0,0
131380709,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386533,26,30,34,6,36,0,30,3,36,0,0,0,0,0,0,0,0,0,0,0,1
111364561,24,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111364578,30,24,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111345850,30,30,20,20,26,26,34,34,26,26,30,28,30,30,0,0,0,0,0,0,0
111354372,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389663,5,6,12,7,27,10,5,5,16,10,15,15,12,12,12,12,9,9,116,83,0
131403940,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389722,23,18,29,6,30,18,0,0,0,0,28,11,30,18,31,14,42,18,130,53,0
111345877,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131392426,30,42,35,6,30,12,35,11,24,6,0,0,0,0,29,0,36,0,239,50,1
131393407,6,25,11.5,5.5,41,12,29.5,18,48.5,11.5,31,19,47,12,31.5,19,48,12.5,65.5,46.5,0
131384319,28,30,36,36,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131387737,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111335764,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131403263,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131396902,18,30,33,27,39,39,39,20,41,18,34,14,41,12,28,0,35,5,0,0,0
131388528,41.5,47.5,36,24.5,42,36.5,30,18,30,17.5,0,0,0,0,0,0,0,0,0,0,0
131385165,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131384455,42,40,34,20,32,20,36,24,36,24,30,2,30,4,0,0,0,0,0,0,0
131391860,24,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131392755,0,6,15,11,38,20,34,27,16,10,30,30,34,30,30,18,30,30,0,0,0
131395413,17,24,32,26,41,36,33,21,34,23,29,29,30,24,0,0,0,0,0,0,0
111335818,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131384181,18,34,22,20,23,17,30,18,39,39,30,26,30,15,0,0,0,0,0,0,0
131381705,29,48,27,15,42,30,30,9,30,0,0,0,0,0,0,0,0,0,0,0,0
111335848,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131393137,33.5,24.5,34.5,24.5,29.5,23.5,36,18.5,30,18.5,30,13.5,30,23.5,0,0,0,0,0,0,0
131380866,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131388076,0,29,30,30,41,30,39,36,38,19,30,30,36,19,33,27,30,24,0,0,0
131391018,15,12,42,36,30,24,30,24,30,30,30,21,30,24,0,0,0,0,0,0,0
131384404,24,42,31,19,42,24,34,29,36,12,30,12,36,24,0,0,0,0,0,0,0
131396239,5,24,36,24,35,30,26,20,41,36,33,33,33,28,28,28,30,25,0,0,0
131385695,37,30,30,24,39,39,30,30,30,21,0,0,0,0,0,0,0,0,0,0,0
131389741,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386727,36,35,36,30,36,36,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131390241,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131403941,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131390684,11.5,18,36.5,36.5,35.5,23.5,36,24.5,36,30.5,30,11.5,30,24,0,0,0,0,0,0,0
131396842,24,42,36,24,36,36,44,19,30,11,53,5,82,24,25,0,34,5,58,9,0
131391093,35.5,35.5,30,24.5,36,30.5,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131386967,34,42,36,24,36,36,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131381533,39,48,24,12,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384888,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388417,22,32,36,36,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131392233,7,0,26,9,37,22,32,24,36,30,32,32,36,36,0,0,42,17,0,0,0
131393206,6,0,0,0,0,0,6,0,18,0,6,0,12,0,24,18,36,24,284,135,0
111345868,30,34,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
111335837,15,51,30,30,30,30,30,30,30,30,30,24,36,36,0,0,0,0,0,0,0
131390010,30,35,30,30,33,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111345856,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131383839,6,6,32,26,50,38,34,24,30,30,30,26,30,30,0,0,0,0,0,0,0
131388795,30,30,36,36,30,30,30,24,36,30,0,0,0,0,0,0,0,0,0,0,0
111374734,30,21,5,5,30,30,30,30,15,15,30,30,30,15,30,30,30,30,0,0,0
131388361,36,30,30,30,36,30,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131411863,29.5,23.5,29.5,0,23.5,0,29.5,0,23.5,0,29.5,0,36.5,0,29.5,0,23.5,0,0,0,1
131395797,23,16,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,263,55,1
131380409,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389833,30,30,30,30,30,30,30,30,30,30,30,30,33,33,0,0,0,0,0,0,0
131382736,37,23,36,9,36,0,30,12,30,6,0,0,0,0,0,0,0,0,0,0,0
131382821,48,36,36,12,42,15,30,12,30,24,0,0,0,0,0,0,0,0,0,0,0
131387067,27,36,36,36,36,36,30,24,30,24,0,0,0,0,0,0,0,0,0,0,0
131400001,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131397522,17,30,34,26,37,18,54,19,48,22,39,6,64,19,33,14,45,16,0,0,0
131383432,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131396646,18,42,34,20,39,18,60,19,70,31,41,7,53,19,28,20,30,5,0,0,0
131396368,33,47,36,27,36,30,42,6,30,18,0,0,0,0,0,0,0,0,61,24,0
111345909,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131394577,39,42,29,23,30,24,32,32,29,23,0,0,0,0,0,0,0,0,0,0,0
131394944,18,18,35,6,30,0,35,12,36,0,0,0,0,0,0,0,0,0,0,0,1
131380356,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131398541,6,0,48,32,15,15,59,32,56,35,40,19,49,33,33,20,43,22,0,0,0
131387130,20,30,20,0,30,0,38,0,30,0,44,12,24,0,36,8,54,0,60,9,1
131383750,36,42,42,36,30,24,30,18,30,30,0,0,0,0,0,0,0,0,0,0,0
131386106,9,10,30,21,30,30,30,30,30,20,30,30,30,30,30,30,30,30,0,0,0
131389154,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131403867,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131387182,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386797,35.5,30,35,35,36,36,30,19.5,30,24,0,0,0,0,0,0,0,0,0,0,0
131386679,36,42,31,31,36,36,0,0,0,0,27,9,36,12,34,0,18,0,72,3,0
131392370,16,42,31,27,40,22,37,37,36,24,30,14,30,24,0,0,0,0,0,0,0
131384241,33,36,36,6,36,0,36,6,24,6,0,0,0,0,0,0,0,0,0,0,1
131389314,29,23,36,24.5,36,30,36,19,37,25.5,30,17.5,30,11.5,0,0,0,0,0,0,0
131388965,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380362,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111364533,30,24,0,0,10,10,30,30,30,20,30,30,30,30,30,30,30,30,0,0,0
131388486,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131390976,6,18,35.5,29.5,30,12,35,17.5,35.5,11.5,35,23.5,37,31,30,13.5,30,17.5,0,0,0
131383439,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131402402,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131390838,35,30,44,26,42,30,35,17,36,18,36,5,36,12,30,3,30,6,0,0,0
111354338,24,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131407457,12,18,12,0,12,0,18,0,18,0,18,0,12,0,12,0,6,0,262.5,25,1
131384316,36,48,30,18,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386496,36,30,0,0,20,20,30,30,30,30,36,10,33,30,30,27,27,27,0,0,0
131386005,32,15,36,30,39,30,0,0,13,10,30,20,41,26,33,30,49,23,72,42,0
111345884,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
111345849,30,30,20,20,26,26,34,34,26,26,30,30,30,30,0,0,0,0,0,0,0
131384342,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111345845,30,30,20,20,26,26,34,34,26,26,30,30,30,30,0,0,0,0,0,0,0
111335844,30,30,34,34,30,30,36,32,30,30,30,24,30,30,0,0,0,0,0,0,0
131382192,45,30,33,23,30,30,30,24,30,30,0,0,0,0,0,0,0,0,0,0,0
131391397,19,35,32,30,40,36,35,26,36,24,30,14,30,18,0,0,0,0,0,0,0
131387392,0,24,12,6,13.5,0,12,12,17,5,0,0,0,0,0,0,18,0,0,0,1
111364370,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131392351,11.5,12,51.5,45.5,42,30,34,13,36,30,30,20,30,18,0,0,0,0,0,0,0
131393861,24,36,15,15,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131397934,17.5,17.5,29,5.5,23,0,27,6,29.5,6.5,0,0,0,0,0,0,0,0,0,0,1
131389461,32,39,30,10,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131384760,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111345776,30,30,20,20,26,26,34,34,26,26,30,30,30,30,0,0,0,0,0,0,0
131392386,16,17,19,0,29,6,36,5,48,0,27,5,61,28,29,16,34,6,123,66,1
131389726,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131384987,30,0,30,30,30,30,0,0,36,36,30,30,36,36,36,30,30,18,0,0,0
131393123,14,30,22,20,34,28,28,28,36,30,32,32,29,17,0,0,0,0,0,0,0
131392564,36,36,36,30,36,30,30,24,30,24,0,0,0,0,0,0,0,0,0,0,0
131389942,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131385452,36,36,36,30,30,24,30,24,30,30,0,0,0,0,0,0,0,0,0,0,0
111364545,24,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131379523,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111354292,30,24,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131395809,18,48,24.5,7,31,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,1
131383335,21,42,28,11,47,12,30,6,30,0,0,0,0,0,0,0,0,0,0,0,1
131383684,42,30,36,30,30,30,30,18,30,30,0,0,0,0,0,0,0,0,0,0,0
131386640,30,0,0,0,30,30,30,30,27,27,30,30,33,33,30,30,30,30,0,0,0
131386504,33,34,30,30,30,30,30,18,42,42,0,0,0,0,0,0,0,0,0,0,0
131384890,36,30,42,36,30,30,24,12,35.5,12,0,0,0,0,0,0,0,0,0,0,0
111354302,30,24,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131385299,30,30,33,33,30,30,30,27,30,30,30,30,30,30,0,0,0,0,0,0,0
131390948,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131381727,35,42,33,16,36,24,30,21,30,12,0,0,0,0,0,0,0,0,0,0,0
131387612,30,30,30,30,30,30,30,30,30,30,30,30,32,32,0,0,0,0,0,0,0
131386759,29,30,24,6,48,24,30,12,42,12,30,25,36,18,30,18,36,12,0,0,0
131392131,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382846,35,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131384531,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380920,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131390220,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111345897,30,30,20,20,26,26,34,34,26,26,30,30,30,30,0,0,0,0,0,0,0
131392451,0,12,6,6,24,6,6,0,30,0,42,36,54,24,36,30,36,30,60,42,0
131385994,35.5,30,30,24.5,36.5,36.5,30,23.5,30,30,0,0,0,0,0,0,0,0,0,0,0
131387523,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131388976,30,40,30,30,30,25,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131386344,30,30,30,27,33,33,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131383569,18,30,40,34,16,16,30,20,36,20,30,30,30,24,0,0,0,0,0,0,0
131380955,30,36,30,24,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384685,30,0,30,30,30,30,0,0,30,30,30,30,30,30,30,30,30,30,0,0,0
131384489,30,0,34,34,30,30,0,0,30,30,34,30,33,30,30,26,30,30,0,0,0
131386222,6,30,45,39,42,12,36,21,30,30,30,18,36,18,0,0,0,0,0,0,0
131390038,12,6,23,17,48,24,41,35,30,24,34,16,36,30,30,15,30,6,0,0,0
111364564,24,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111354364,24,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131387322,24,36,30,24,42,30,21,15,36,30,30,0,46,16.5,0,0,0,0,0,0,0
131391411,40,24,35,23,37,19,36.5,19.5,35,29,30,7.5,30,18,0,0,0,0,0,0,0
131395591,47,56,48,23,30,24,41,12,36,24,32,7,29,23,0,0,0,0,0,0,0
131380018,40,54,30,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131383499,36,54,39,30,30,0,30,12,36,24,24,18,24,18,0,0,0,0,0,0,0
131380923,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111374689,30,24,0,0,10,10,34,34,30,20,30,26,30,30,30,30,30,30,0,0,0
131383928,30,30,30,30,36,36,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131385749,6,6,18,12,54,30,36,36,30,18,33,9,36,12,30,3,24,0,0,0,1
131390089,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
131386194,17.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386835,30,41.5,36.5,36.5,30,24.5,30,23.5,30,30,0,0,0,0,0,0,0,0,0,0,0
131385721,24.5,30,36,36,36,36,30,30,36,24,0,0,0,0,0,0,0,0,0,0,0
131390212,23.5,30,30,6.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131384724,30,42,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131395177,17,53,34,28,40,22,41,20,45,27,29,21,30,13,0,0,0,0,0,0,0
131384200,36,33,33,21,36,21,36,27,36,36,30,12,30,12,0,0,0,0,0,0,0
131383887,30,30,28,28,30,30,30,26,30,30,30,27,27,27,0,0,0,0,0,0,0
131382393,39,48,30,21,36,36,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131383846,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131387124,30,41,36,36,37,31,30,23,30,30,0,0,0,0,0,0,0,0,0,0,0
131392897,30,24,36,36,36,36,30,24,36,30,0,0,0,0,0,0,0,0,0,0,0
131389895,26,42,26,0,36,0,21,0,30,6,30,9,30,0,0,0,0,0,0,0,1
131385996,47.5,59.5,42.5,31,36,30,30,11.5,30,24,0,0,0,0,0,0,0,0,0,0,0
131384197,47,40,46,19,24,24,36,11,36,18,30,14,30,12,0,0,0,0,0,0,0
131382206,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131402951,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131395984,6,24,33,27,41,20,57,36,64,31,43,31,40,24,32,0,30,0,0,0,0
131382208,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131395901,25,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380311,30,48,30,24,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380940,42,42,30,12,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131403861,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131391950,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131385405,41,59,23,6,42,24,36,30,36,18,36,19,36,24,30,18,36,18,0,0,0
131385003,30,21,23,23,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380218,53,36,30,2,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131390120,29,42,35,6,36,6,29,6,24,6,0,0,0,0,30,13,36,0,188,60,0
131380492,36,42,30,18,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380829,30,36,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131395380,36,34,37,0,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
